Running programme in gpu
Loading weights from ./detector/YOLOv3/weight/yolov3.weights... Done!
Loading weights from ./deep_sort/deep/checkpoint/ckpt.t7!
frame index: 126, spend time: 0.155s, fps: 6.448
frame index: 127, spend time: 0.145s, fps: 6.919
frame index: 128, spend time: 0.190s, fps: 5.260
frame index: 129, spend time: 0.188s, fps: 5.317
frame index: 130, spend time: 0.150s, fps: 6.674
frame index: 131, spend time: 0.147s, fps: 6.800
frame index: 132, spend time: 0.151s, fps: 6.638
frame index: 133, spend time: 0.132s, fps: 7.598
frame index: 134, spend time: 0.133s, fps: 7.521
frame index: 135, spend time: 0.192s, fps: 5.202
frame index: 136, spend time: 0.157s, fps: 6.383
frame index: 137, spend time: 0.131s, fps: 7.627
frame index: 138, spend time: 0.198s, fps: 5.062
frame index: 139, spend time: 0.143s, fps: 6.986
frame index: 140, spend time: 0.149s, fps: 6.712
frame index: 141, spend time: 0.150s, fps: 6.673
frame index: 142, spend time: 0.147s, fps: 6.782
frame index: 143, spend time: 0.137s, fps: 7.307
frame index: 144, spend time: 0.151s, fps: 6.605
frame index: 145, spend time: 0.167s, fps: 5.996
frame index: 146, spend time: 0.128s, fps: 7.818
frame index: 147, spend time: 0.142s, fps: 7.019
frame index: 148, spend time: 0.169s, fps: 5.917
frame index: 149, spend time: 0.145s, fps: 6.919
frame index: 150, spend time: 0.174s, fps: 5.745
frame index: 151, spend time: 0.164s, fps: 6.085
frame index: 152, spend time: 0.169s, fps: 5.923
frame index: 153, spend time: 0.217s, fps: 4.614
frame index: 154, spend time: 0.160s, fps: 6.258
frame index: 155, spend time: 0.134s, fps: 7.463
frame index: 156, spend time: 0.192s, fps: 5.204
frame index: 157, spend time: 0.195s, fps: 5.126
frame index: 158, spend time: 0.182s, fps: 5.499
frame index: 159, spend time: 0.202s, fps: 4.957
frame index: 160, spend time: 0.145s, fps: 6.874
frame index: 161, spend time: 0.133s, fps: 7.520
frame index: 162, spend time: 0.176s, fps: 5.675
frame index: 163, spend time: 0.140s, fps: 7.121
frame index: 164, spend time: 0.151s, fps: 6.626
frame index: 165, spend time: 0.161s, fps: 6.209
frame index: 166, spend time: 0.197s, fps: 5.066
frame index: 167, spend time: 0.149s, fps: 6.732
frame index: 168, spend time: 0.115s, fps: 8.699
frame index: 169, spend time: 0.141s, fps: 7.086
frame index: 170, spend time: 0.184s, fps: 5.445
frame index: 171, spend time: 0.183s, fps: 5.457
frame index: 172, spend time: 0.160s, fps: 6.234
frame index: 173, spend time: 0.154s, fps: 6.505
frame index: 174, spend time: 0.168s, fps: 5.968
frame index: 175, spend time: 0.127s, fps: 7.870
frame index: 176, spend time: 0.170s, fps: 5.888
frame index: 177, spend time: 0.144s, fps: 6.943
frame index: 178, spend time: 0.108s, fps: 9.268
frame index: 179, spend time: 0.141s, fps: 7.094
frame index: 180, spend time: 0.166s, fps: 6.023
frame index: 181, spend time: 0.153s, fps: 6.539
frame index: 182, spend time: 0.131s, fps: 7.649
frame index: 183, spend time: 0.229s, fps: 4.360
frame index: 184, spend time: 0.243s, fps: 4.107
frame index: 185, spend time: 0.218s, fps: 4.589
frame index: 186, spend time: 0.176s, fps: 5.679
frame index: 187, spend time: 0.165s, fps: 6.042
frame index: 188, spend time: 0.175s, fps: 5.706
frame index: 189, spend time: 0.133s, fps: 7.517
frame index: 190, spend time: 0.148s, fps: 6.752
frame index: 191, spend time: 0.136s, fps: 7.370
frame index: 192, spend time: 0.117s, fps: 8.544
frame index: 193, spend time: 0.126s, fps: 7.938
frame index: 194, spend time: 0.142s, fps: 7.067
frame index: 195, spend time: 0.130s, fps: 7.702
frame index: 196, spend time: 0.146s, fps: 6.830
frame index: 197, spend time: 0.138s, fps: 7.268
frame index: 198, spend time: 0.125s, fps: 7.994
frame index: 199, spend time: 0.190s, fps: 5.267
frame index: 200, spend time: 0.131s, fps: 7.655
frame index: 201, spend time: 0.150s, fps: 6.679
frame index: 202, spend time: 0.200s, fps: 4.994
frame index: 203, spend time: 0.183s, fps: 5.478
frame index: 204, spend time: 0.194s, fps: 5.146
frame index: 205, spend time: 0.170s, fps: 5.879
frame index: 206, spend time: 0.143s, fps: 6.977
frame index: 207, spend time: 0.127s, fps: 7.904
frame index: 208, spend time: 0.123s, fps: 8.112
frame index: 209, spend time: 0.133s, fps: 7.503
frame index: 210, spend time: 0.131s, fps: 7.634
frame index: 211, spend time: 0.166s, fps: 6.022
frame index: 212, spend time: 0.226s, fps: 4.421
frame index: 213, spend time: 0.153s, fps: 6.539
frame index: 214, spend time: 0.158s, fps: 6.345
frame index: 215, spend time: 0.120s, fps: 8.325
frame index: 216, spend time: 0.131s, fps: 7.658
frame index: 217, spend time: 0.150s, fps: 6.686
frame index: 218, spend time: 0.144s, fps: 6.952
frame index: 219, spend time: 0.176s, fps: 5.667
frame index: 220, spend time: 0.167s, fps: 5.998
frame index: 221, spend time: 0.154s, fps: 6.497
frame index: 222, spend time: 0.175s, fps: 5.699
frame index: 223, spend time: 0.128s, fps: 7.835
frame index: 224, spend time: 0.156s, fps: 6.401
frame index: 225, spend time: 0.166s, fps: 6.017
frame index: 226, spend time: 0.171s, fps: 5.853
frame index: 227, spend time: 0.139s, fps: 7.186
frame index: 228, spend time: 0.117s, fps: 8.515
frame index: 229, spend time: 0.143s, fps: 6.988
frame index: 230, spend time: 0.143s, fps: 7.003
frame index: 231, spend time: 0.138s, fps: 7.246
frame index: 232, spend time: 0.167s, fps: 5.984
frame index: 233, spend time: 0.160s, fps: 6.242
frame index: 234, spend time: 0.133s, fps: 7.493
frame index: 235, spend time: 0.135s, fps: 7.393
frame index: 236, spend time: 0.150s, fps: 6.649
frame index: 237, spend time: 0.175s, fps: 5.725
frame index: 238, spend time: 0.190s, fps: 5.266
frame index: 239, spend time: 0.176s, fps: 5.673
frame index: 240, spend time: 0.140s, fps: 7.128
frame index: 241, spend time: 0.191s, fps: 5.246
frame index: 242, spend time: 0.151s, fps: 6.615
frame index: 243, spend time: 0.133s, fps: 7.534
frame index: 244, spend time: 0.121s, fps: 8.256
frame index: 245, spend time: 0.122s, fps: 8.227
frame index: 246, spend time: 0.155s, fps: 6.447
frame index: 247, spend time: 0.153s, fps: 6.547
frame index: 248, spend time: 0.157s, fps: 6.354
frame index: 249, spend time: 0.176s, fps: 5.683
frame index: 250, spend time: 0.211s, fps: 4.738
frame index: 251, spend time: 0.132s, fps: 7.601
frame index: 252, spend time: 0.123s, fps: 8.123
frame index: 253, spend time: 0.191s, fps: 5.225
frame index: 254, spend time: 0.139s, fps: 7.220
frame index: 255, spend time: 0.137s, fps: 7.325
frame index: 256, spend time: 0.155s, fps: 6.454
frame index: 257, spend time: 0.140s, fps: 7.143
frame index: 258, spend time: 0.119s, fps: 8.413
frame index: 259, spend time: 0.134s, fps: 7.489
frame index: 260, spend time: 0.120s, fps: 8.355
frame index: 261, spend time: 0.123s, fps: 8.123
frame index: 262, spend time: 0.160s, fps: 6.269
frame index: 263, spend time: 0.129s, fps: 7.756
frame index: 264, spend time: 0.137s, fps: 7.318
frame index: 265, spend time: 0.145s, fps: 6.900
frame index: 266, spend time: 0.139s, fps: 7.172
frame index: 267, spend time: 0.141s, fps: 7.107
frame index: 268, spend time: 0.160s, fps: 6.255
frame index: 269, spend time: 0.128s, fps: 7.792
frame index: 270, spend time: 0.128s, fps: 7.787
frame index: 271, spend time: 0.152s, fps: 6.563
frame index: 272, spend time: 0.167s, fps: 5.986
frame index: 273, spend time: 0.166s, fps: 6.023
frame index: 274, spend time: 0.155s, fps: 6.439
frame index: 275, spend time: 0.098s, fps: 10.203
frame index: 276, spend time: 0.095s, fps: 10.504
frame index: 277, spend time: 0.101s, fps: 9.925
frame index: 278, spend time: 0.100s, fps: 9.954
frame index: 279, spend time: 0.102s, fps: 9.792
frame index: 280, spend time: 0.132s, fps: 7.585
frame index: 281, spend time: 0.128s, fps: 7.786
frame index: 282, spend time: 0.102s, fps: 9.800
frame index: 283, spend time: 0.119s, fps: 8.397
frame index: 284, spend time: 0.126s, fps: 7.945
frame index: 285, spend time: 0.155s, fps: 6.457
frame index: 286, spend time: 0.146s, fps: 6.856
frame index: 287, spend time: 0.131s, fps: 7.607
frame index: 288, spend time: 0.138s, fps: 7.258
frame index: 289, spend time: 0.125s, fps: 8.031
frame index: 290, spend time: 0.170s, fps: 5.894
frame index: 291, spend time: 0.165s, fps: 6.054
frame index: 292, spend time: 0.181s, fps: 5.533
frame index: 293, spend time: 0.209s, fps: 4.783
frame index: 294, spend time: 0.188s, fps: 5.312
frame index: 295, spend time: 0.144s, fps: 6.923
frame index: 296, spend time: 0.131s, fps: 7.624
frame index: 297, spend time: 0.137s, fps: 7.315
frame index: 298, spend time: 0.160s, fps: 6.251
frame index: 299, spend time: 0.142s, fps: 7.027
frame index: 300, spend time: 0.138s, fps: 7.270
frame index: 301, spend time: 0.141s, fps: 7.098
frame index: 302, spend time: 0.145s, fps: 6.907
frame index: 303, spend time: 0.135s, fps: 7.392
frame index: 304, spend time: 0.164s, fps: 6.101
frame index: 305, spend time: 0.140s, fps: 7.129
frame index: 306, spend time: 0.129s, fps: 7.767
frame index: 307, spend time: 0.130s, fps: 7.711
frame index: 308, spend time: 0.133s, fps: 7.506
frame index: 309, spend time: 0.138s, fps: 7.272
frame index: 310, spend time: 0.128s, fps: 7.820
frame index: 311, spend time: 0.093s, fps: 10.708
frame index: 312, spend time: 0.144s, fps: 6.944
frame index: 313, spend time: 0.199s, fps: 5.034
frame index: 314, spend time: 0.155s, fps: 6.434
frame index: 315, spend time: 0.137s, fps: 7.311
frame index: 316, spend time: 0.139s, fps: 7.207
frame index: 317, spend time: 0.140s, fps: 7.141
frame index: 318, spend time: 0.136s, fps: 7.370
frame index: 319, spend time: 0.142s, fps: 7.063
frame index: 320, spend time: 0.128s, fps: 7.800
frame index: 321, spend time: 0.140s, fps: 7.144
frame index: 322, spend time: 0.197s, fps: 5.077
frame index: 323, spend time: 0.175s, fps: 5.724
frame index: 324, spend time: 0.166s, fps: 6.033
frame index: 325, spend time: 0.157s, fps: 6.387
frame index: 326, spend time: 0.139s, fps: 7.191
frame index: 327, spend time: 0.134s, fps: 7.460
frame index: 328, spend time: 0.135s, fps: 7.391
frame index: 329, spend time: 0.135s, fps: 7.422
frame index: 330, spend time: 0.131s, fps: 7.614
frame index: 331, spend time: 0.111s, fps: 9.029
frame index: 332, spend time: 0.115s, fps: 8.697
frame index: 333, spend time: 0.184s, fps: 5.423
frame index: 334, spend time: 0.145s, fps: 6.906
frame index: 335, spend time: 0.156s, fps: 6.395
frame index: 336, spend time: 0.199s, fps: 5.022
frame index: 337, spend time: 0.152s, fps: 6.589
frame index: 338, spend time: 0.148s, fps: 6.753
frame index: 339, spend time: 0.164s, fps: 6.081
frame index: 340, spend time: 0.155s, fps: 6.465
frame index: 341, spend time: 0.141s, fps: 7.081
frame index: 342, spend time: 0.137s, fps: 7.326
frame index: 343, spend time: 0.138s, fps: 7.231
frame index: 344, spend time: 0.138s, fps: 7.226
frame index: 345, spend time: 0.151s, fps: 6.602
frame index: 346, spend time: 0.151s, fps: 6.637
frame index: 347, spend time: 0.186s, fps: 5.379
frame index: 348, spend time: 0.193s, fps: 5.175
frame index: 349, spend time: 0.146s, fps: 6.831
frame index: 350, spend time: 0.127s, fps: 7.869
frame index: 351, spend time: 0.134s, fps: 7.468
frame index: 352, spend time: 0.161s, fps: 6.208
frame index: 353, spend time: 0.178s, fps: 5.613
frame index: 354, spend time: 0.147s, fps: 6.797
frame index: 355, spend time: 0.124s, fps: 8.094
frame index: 356, spend time: 0.128s, fps: 7.795
frame index: 357, spend time: 0.127s, fps: 7.854
frame index: 358, spend time: 0.147s, fps: 6.815
frame index: 359, spend time: 0.146s, fps: 6.863
frame index: 360, spend time: 0.128s, fps: 7.802
frame index: 361, spend time: 0.119s, fps: 8.374
frame index: 362, spend time: 0.115s, fps: 8.711
frame index: 363, spend time: 0.132s, fps: 7.558
frame index: 364, spend time: 0.113s, fps: 8.829
frame index: 365, spend time: 0.118s, fps: 8.456
frame index: 366, spend time: 0.115s, fps: 8.703
frame index: 367, spend time: 0.116s, fps: 8.593
frame index: 368, spend time: 0.116s, fps: 8.647
