[Progress:25.5%] time:50.55s Loss:1.77444  Acc:36.567%
[Progress:25.8%] time:51.68s Loss:1.77168  Acc:36.788%
[Progress:26.1%] time:51.76s Loss:1.76215  Acc:37.007%
[Progress:26.3%] time:50.26s Loss:1.72446  Acc:37.230%
[Progress:26.6%] time:51.16s Loss:1.69371  Acc:37.457%
[Progress:26.9%] time:51.26s Loss:1.70761  Acc:37.676%
[Progress:27.2%] time:52.13s Loss:1.62457  Acc:37.918%
[Progress:27.4%] time:50.60s Loss:1.59918  Acc:38.163%
[Progress:27.7%] time:52.37s Loss:1.68949  Acc:38.378%
[Progress:28.0%] time:50.88s Loss:1.58835  Acc:38.606%
[Progress:28.2%] time:50.65s Loss:1.65138  Acc:38.805%
[Progress:28.5%] time:50.35s Loss:1.61861  Acc:39.019%
[Progress:28.8%] time:50.03s Loss:1.61572  Acc:39.235%
[Progress:29.0%] time:49.91s Loss:1.54960  Acc:39.467%
[Progress:29.3%] time:50.57s Loss:1.61754  Acc:39.684%
[Progress:29.6%] time:51.47s Loss:1.62079  Acc:39.886%
[Progress:29.8%] time:51.58s Loss:1.59233  Acc:40.080%
[Progress:30.1%] time:51.61s Loss:1.49969  Acc:40.292%
[Progress:30.4%] time:50.25s Loss:1.54215  Acc:40.501%
[Progress:30.6%] time:50.62s Loss:1.48617  Acc:40.717%
[Progress:30.9%] time:50.76s Loss:1.57106  Acc:40.923%
[Progress:31.2%] time:50.34s Loss:1.52025  Acc:41.114%
[Progress:31.5%] time:51.17s Loss:1.55732  Acc:41.302%
[Progress:31.7%] time:50.33s Loss:1.48382  Acc:41.489%
[Progress:32.0%] time:49.95s Loss:1.46676  Acc:41.693%
[Progress:32.3%] time:48.52s Loss:1.43043  Acc:41.892%
[Progress:32.5%] time:49.98s Loss:1.43453  Acc:42.091%
[Progress:32.8%] time:52.34s Loss:1.47376  Acc:42.286%
[Progress:33.1%] time:51.94s Loss:1.49000  Acc:42.477%
[Progress:33.3%] time:51.18s Loss:1.44106  Acc:42.677%
[Progress:33.6%] time:51.01s Loss:1.38849  Acc:42.866%
[Progress:33.9%] time:50.36s Loss:1.44444  Acc:43.051%
[Progress:34.1%] time:50.35s Loss:1.52304  Acc:43.215%
[Progress:34.4%] time:50.64s Loss:1.38135  Acc:43.409%
[Progress:34.7%] time:49.84s Loss:1.42541  Acc:43.586%
[Progress:34.9%] time:50.01s Loss:1.39188  Acc:43.766%
[Progress:35.2%] time:50.18s Loss:1.32110  Acc:43.954%
[Progress:35.5%] time:51.25s Loss:1.35044  Acc:44.139%
[Progress:35.8%] time:50.46s Loss:1.33935  Acc:44.318%
[Progress:36.0%] time:49.37s Loss:1.37832  Acc:44.490%
[Progress:36.3%] time:50.22s Loss:1.37143  Acc:44.652%
[Progress:36.6%] time:50.46s Loss:1.42854  Acc:44.811%
[Progress:36.8%] time:50.11s Loss:1.36799  Acc:44.978%
[Progress:37.1%] time:49.64s Loss:1.29347  Acc:45.149%
